alpha,score,sharpe,sortino,drawdown
IWM_Alpha_0,-0.10146213565107798,-0.2012914619965472,-0.2949769513436078,-0.7748415514979226
DBC_Alpha_6,-0.10350013228567147,-0.21949119213073665,-0.32231360613437443,-0.7300319119768816
EFA_Alpha_13,-0.10351658746509752,-0.35119148681378104,-0.26457456610775587,-0.6122254096908611
EFA_Alpha_3,-0.11136020284517263,-0.2661202830235607,-0.34950250748470396,-0.6668711246344572
TLT_Alpha_14,-0.11367728458421925,-0.44377248689094756,-0.3231578902774742,-0.4640697424819932
USO_Alpha_10,-0.11410037045115307,-0.16807365785867728,-0.22593941558957284,-0.930296942102701
EFA_Alpha_14,-0.11766652890933593,-0.42695959694162305,-0.26404536162919556,-0.5588969388130934
EFA_Alpha_16,-0.11807638105852927,-0.5103112225371764,-0.20662420282513283,-0.5065487706537295
GLD_Alpha_9,-0.1213883684775741,-0.27712996598389594,-0.4017099867575953,-0.6334112868557904
GLD_Alpha_11,-0.1360631048218806,-0.2736161002381684,-0.4030796045224216,-0.6856426112329559
EFA_Alpha_15,-0.1441146568667514,-0.5139163169222726,-0.23976971263190217,-0.5553907210275724
VNQ_Alpha_0,-0.14980640839702644,-0.273906627163885,-0.37856098023414997,-0.7555848782040915
DBC_Alpha_8,-0.14981820380095007,-0.2655321169875569,-0.3951513350711081,-0.7501998549486496
DBC_Alpha_9,-0.15988778652739982,-0.27373694320360015,-0.4128397955699084,-0.7551369019166242
VNQ_Alpha_8,-0.16488626062424386,-0.2777538435489576,-0.3586741200913888,-0.8206082905908139
DBC_Alpha_11,-0.16497735977030442,-0.2688651307001429,-0.4153314130011911,-0.7761062786329664
SPY_Alpha_0,-0.16683855661839994,-0.3142191968055312,-0.40720354015660865,-0.7299660528306829
DBC_Alpha_10,-0.16835441380032698,-0.296527502907418,-0.44836594338855174,-0.7174454320693142
DBC_Alpha_7,-0.1703495858936854,-0.2801168959150292,-0.4147335500132032,-0.7796092084123758
EEM_Alpha_0,-0.18981942677613317,-0.2873916218448025,-0.4145899669430724,-0.8349526265176349
VNQ_Alpha_3,-0.20507259100885133,-0.3323165141527045,-0.44797735635963193,-0.7925092614662664
TLT_Alpha_0,-0.22035529411910668,-0.3579862390962687,-0.5444555398926061,-0.7127471217093913
GLD_Alpha_10,-0.22853417990767705,-0.35391570318523363,-0.5260462377309776,-0.763846757714301
IWM_Alpha_5,-0.23200533132234183,-0.3370695689680087,-0.4613676610175194,-0.8625573514329417
USO_Alpha_7,-0.25528660760586047,-0.3308263122414477,-0.43263749275199753,-0.9772161162789403
TLT_Alpha_1,-0.25877568780467863,-0.405698409100769,-0.6121743314233128,-0.709480082457924
GLD_Alpha_7,-0.2609156312833817,-0.38457888176278826,-0.5512484395736631,-0.8056984890205583
SPY_Alpha_11,-0.2627643026743599,-0.3993741293061696,-0.57866288486974,-0.7647192849699
TLT_Alpha_13,-0.2915657346176903,-0.6089375960576963,-0.5415236117197056,-0.618445375595667
VNQ_Alpha_4,-0.3128203312665727,-0.4441283995043052,-0.5919866584420991,-0.8585765797740698
QQQ_Alpha_11,-0.37538462599249717,-0.47912011696620543,-0.7353286066788677,-0.8771266573411822
TLT_Alpha_12,-0.4334007943659227,-0.7178337857904571,-0.7516909180757383,-0.7358666820900615
